# kick   autocorrelator
   0     0.9710
   1    -0.8666
   2     0.8496
   3    -0.7702
   4     0.7564
   5    -0.6646
   6     0.6534
   7    -0.5666
   8     0.5618
   9    -0.4806
  10     0.5048
  11    -0.4158
  12     0.4290
  13    -0.3598
  14     0.3854
  15    -0.3208
  16     0.3360
  17    -0.2914
  18     0.3038
  19    -0.2272
  20     0.2732
  21    -0.2144
  22     0.2258
  23    -0.1814
  24     0.2138
  25    -0.1654
  26     0.1782
  27    -0.1476
  28     0.1444
  29    -0.1308
  30     0.1728
  31    -0.1060
  32     0.1280
  33    -0.1036
  34     0.1218
  35    -0.0954
  36     0.1222
  37    -0.0546
  38     0.1246
  39    -0.0622
  40     0.1022
  41    -0.0580
  42     0.0854
  43    -0.0272
  44     0.0870
  45    -0.0390
  46     0.0924
  47    -0.0282
  48     0.0740
  49    -0.0420
  50     0.0586
  51    -0.0324
  52     0.0616
  53    -0.0352
  54     0.0542
  55    -0.0118
  56     0.0558
  57    -0.0300
  58     0.0526
  59    -0.0112
