# kick   autocorrelator
   0     1.0000
   1    -0.9954
   2     0.9936
   3    -0.9788
   4     0.9714
   5    -0.9550
   6     0.9538
   7    -0.9356
   8     0.9302
   9    -0.9266
  10     0.9128
  11    -0.8840
  12     0.8826
  13    -0.8682
  14     0.8670
  15    -0.8474
  16     0.8464
  17    -0.8386
  18     0.8446
  19    -0.8396
  20     0.8358
  21    -0.8464
  22     0.8452
  23    -0.8338
  24     0.8426
  25    -0.8384
  26     0.8462
  27    -0.8510
  28     0.8534
  29    -0.8598
  30     0.8632
  31    -0.8752
  32     0.8918
  33    -0.8942
  34     0.9044
  35    -0.9072
  36     0.9270
  37    -0.9348
  38     0.9496
  39    -0.9586
  40     0.9736
  41    -0.9764
  42     0.9872
  43    -0.9886
  44     0.9942
  45    -0.9932
  46     0.9924
  47    -0.9836
  48     0.9726
  49    -0.9638
  50     0.9486
  51    -0.9286
  52     0.9288
  53    -0.9150
  54     0.9052
  55    -0.8880
  56     0.8794
  57    -0.8674
  58     0.8558
  59    -0.8456
