# kick  mean_autocorr  sem
   0     0.9698     0.0004
   1    -0.8765     0.0008
   2     0.8565     0.0010
   3    -0.7666     0.0013
   4     0.7542     0.0012
   5    -0.6675     0.0016
   6     0.6621     0.0017
   7    -0.5840     0.0021
   8     0.5815     0.0020
   9    -0.5103     0.0021
  10     0.5139     0.0021
  11    -0.4459     0.0029
  12     0.4554     0.0028
  13    -0.3914     0.0024
  14     0.4028     0.0025
  15    -0.3440     0.0027
  16     0.3583     0.0029
  17    -0.3004     0.0028
  18     0.3195     0.0026
  19    -0.2657     0.0033
  20     0.2859     0.0027
  21    -0.2320     0.0024
  22     0.2542     0.0028
  23    -0.2058     0.0027
  24     0.2275     0.0027
  25    -0.1801     0.0023
  26     0.2071     0.0027
  27    -0.1588     0.0025
  28     0.1844     0.0028
  29    -0.1369     0.0023
  30     0.1702     0.0025
  31    -0.1260     0.0028
  32     0.1531     0.0024
  33    -0.1119     0.0023
  34     0.1371     0.0021
  35    -0.0943     0.0023
  36     0.1302     0.0024
  37    -0.0861     0.0025
  38     0.1168     0.0022
  39    -0.0713     0.0021
  40     0.1079     0.0021
  41    -0.0634     0.0019
  42     0.0964     0.0019
  43    -0.0572     0.0021
  44     0.0870     0.0021
  45    -0.0490     0.0021
  46     0.0825     0.0022
  47    -0.0415     0.0020
  48     0.0796     0.0017
  49    -0.0398     0.0018
  50     0.0723     0.0018
  51    -0.0340     0.0021
  52     0.0649     0.0015
  53    -0.0296     0.0020
  54     0.0643     0.0016
  55    -0.0244     0.0019
  56     0.0600     0.0018
  57    -0.0199     0.0018
  58     0.0560     0.0017
  59    -0.0183     0.0016
