kick,cand_mean,cand_sem,ref_mean,ref_sem,z_combined
0,0.9698,0.0004,0.9726,0.0004,4.95
1,-0.8765,0.0008,-0.8786,0.0008,1.86
2,0.8565,0.0010,0.8023,0.0010,38.33
3,-0.7666,0.0013,-0.7243,0.0010,25.79
4,0.7542,0.0012,0.6634,0.0016,45.40
5,-0.6675,0.0016,-0.6025,0.0014,30.57
6,0.6621,0.0017,0.5502,0.0018,45.20
7,-0.5840,0.0021,-0.5006,0.0016,31.59
8,0.5815,0.0020,0.4636,0.0018,43.82
9,-0.5103,0.0021,-0.4216,0.0019,31.32
10,0.5139,0.0021,0.3887,0.0017,46.34
11,-0.4459,0.0029,-0.3575,0.0018,25.90
12,0.4554,0.0028,0.3322,0.0021,35.20
13,-0.3914,0.0024,-0.3031,0.0023,26.56
14,0.4028,0.0025,0.2829,0.0020,37.45
15,-0.3440,0.0027,-0.2605,0.0023,23.54
16,0.3583,0.0029,0.2438,0.0020,32.50
17,-0.3004,0.0028,-0.2230,0.0022,21.74
18,0.3195,0.0026,0.2075,0.0020,34.14
19,-0.2657,0.0033,-0.1910,0.0021,19.10
20,0.2859,0.0027,0.1816,0.0019,31.59
21,-0.2320,0.0024,-0.1660,0.0017,22.44
22,0.2542,0.0028,0.1562,0.0018,29.44
23,-0.2058,0.0027,-0.1437,0.0017,19.46
24,0.2275,0.0027,0.1352,0.0023,26.02
25,-0.1801,0.0023,-0.1247,0.0021,17.79
26,0.2071,0.0027,0.1202,0.0018,26.78
27,-0.1588,0.0025,-0.1075,0.0018,16.65
28,0.1844,0.0028,0.1066,0.0020,22.61
29,-0.1369,0.0023,-0.0960,0.0019,13.71
30,0.1702,0.0025,0.0902,0.0016,26.95
31,-0.1260,0.0028,-0.0795,0.0020,13.51
32,0.1531,0.0024,0.0805,0.0018,24.20
33,-0.1119,0.0023,-0.0753,0.0020,12.01
34,0.1371,0.0021,0.0712,0.0019,23.27
35,-0.0943,0.0023,-0.0604,0.0019,11.36
36,0.1302,0.0024,0.0595,0.0017,24.04
37,-0.0861,0.0025,-0.0543,0.0016,10.71
38,0.1168,0.0022,0.0576,0.0023,18.60
39,-0.0713,0.0021,-0.0487,0.0016,8.56
40,0.1079,0.0021,0.0478,0.0015,23.29
41,-0.0634,0.0019,-0.0433,0.0014,8.52
42,0.0964,0.0019,0.0418,0.0016,21.98
43,-0.0572,0.0021,-0.0371,0.0019,7.10
44,0.0870,0.0021,0.0370,0.0015,19.37
45,-0.0490,0.0021,-0.0336,0.0017,5.70
46,0.0825,0.0022,0.0354,0.0016,17.31
47,-0.0415,0.0020,-0.0301,0.0014,4.67
48,0.0796,0.0017,0.0310,0.0017,20.21
49,-0.0398,0.0018,-0.0260,0.0016,5.73
50,0.0723,0.0018,0.0267,0.0017,18.42
51,-0.0340,0.0021,-0.0243,0.0016,3.67
52,0.0649,0.0015,0.0235,0.0018,17.67
53,-0.0296,0.0020,-0.0215,0.0017,3.09
54,0.0643,0.0016,0.0231,0.0016,18.21
55,-0.0244,0.0019,-0.0221,0.0018,0.88
56,0.0600,0.0018,0.0213,0.0017,15.63
57,-0.0199,0.0018,-0.0161,0.0016,1.58
58,0.0560,0.0017,0.0161,0.0015,17.60
59,-0.0183,0.0016,-0.0143,0.0013,1.94
