# kick   autocorrelator
   0     0.9692
   1    -0.8670
   2     0.8548
   3    -0.7724
   4     0.7548
   5    -0.6454
   6     0.6514
   7    -0.5588
   8     0.5740
   9    -0.5018
  10     0.4992
  11    -0.4080
  12     0.4294
  13    -0.3754
  14     0.3946
  15    -0.3282
  16     0.3228
  17    -0.2766
  18     0.2968
  19    -0.2416
  20     0.2572
  21    -0.2098
  22     0.2340
  23    -0.1894
  24     0.2186
  25    -0.1638
  26     0.1876
  27    -0.1580
  28     0.1718
  29    -0.1300
  30     0.1496
  31    -0.1252
  32     0.1336
  33    -0.1132
  34     0.1244
  35    -0.0760
  36     0.1412
  37    -0.0726
  38     0.1210
  39    -0.0606
  40     0.0938
  41    -0.0516
  42     0.0970
  43    -0.0674
  44     0.0798
  45    -0.0330
  46     0.1042
  47    -0.0332
  48     0.0612
  49    -0.0356
  50     0.0736
  51    -0.0138
  52     0.0692
  53    -0.0134
  54     0.0628
  55    -0.0070
  56     0.0460
  57    -0.0276
  58     0.0676
  59    -0.0122
