# kick  local_q  physical_q  mean_autocorr  sem
   0    0        QB8     0.9790     0.0010
   0    1       QB16     0.9720     0.0040
   0    2       QB15     0.9620     0.0100
   0    3       QB23     0.9650     0.0010
   0    4       QB24     0.9520     0.0060
   0    5       QB25     0.9800     0.0040
   0    6       QB17     0.9420     0.0100
   0    7       QB18     0.9540     0.0060
   0    8       QB26     0.9750     0.0010
   0    9       QB27     0.9790     0.0010
   1    0        QB8     0.8390     0.0170
   1    1       QB16     0.6910     0.0070
   1    2       QB15     0.7460     0.0160
   1    3       QB23     0.6890     0.0010
   1    4       QB24     0.7970     0.0010
   1    5       QB25     0.8220     0.0000
   1    6       QB17     0.8480     0.0020
   1    7       QB18     0.7930     0.0110
   1    8       QB26     0.8840     0.0040
   1    9       QB27     0.8890     0.0010
   2    0        QB8     0.7790     0.0050
   2    1       QB16     0.5820     0.0160
   2    2       QB15     0.5940     0.0020
   2    3       QB23     0.5780     0.0120
   2    4       QB24     0.7020     0.0160
   2    5       QB25     0.7670     0.0130
   2    6       QB17     0.7710     0.0030
   2    7       QB18     0.6710     0.0270
   2    8       QB26     0.7830     0.0130
   2    9       QB27     0.8100     0.0120
   3    0        QB8     0.6970     0.0010
   3    1       QB16     0.4450     0.0130
   3    2       QB15     0.4800     0.0060
   3    3       QB23     0.4070     0.0050
   3    4       QB24     0.6370     0.0350
   3    5       QB25     0.7050     0.0190
   3    6       QB17     0.6650     0.0090
   3    7       QB18     0.5790     0.0250
   3    8       QB26     0.6740     0.0040
   3    9       QB27     0.7400     0.0100
