JobID|JobName|State|Submit|Start|End|Elapsed|ElapsedRaw|MaxRSS|AveRSS|MaxVMSize|AveVMSize|TRESUsageInMax|TRESUsageInTot|ExitCode|Reason
18874374|floquet_par|COMPLETED|2026-05-27T20:32:21|2026-05-27T20:32:22|2026-05-27T20:32:48|00:00:26|26|||||||0:0|None
18874374.batch|batch|COMPLETED|2026-05-27T20:32:22|2026-05-27T20:32:22|2026-05-27T20:32:48|00:00:26|26|3216K|3216K|110284K|110284K|cpu=00:00:00,energy=8583,fs/disk=0,mem=3216K,pages=0,vmem=110284K|cpu=00:00:00,energy=8583,fs/disk=0,mem=3216K,pages=0,vmem=110284K|0:0|
18874374.0|run-singularity|COMPLETED|2026-05-27T20:32:23|2026-05-27T20:32:23|2026-05-27T20:32:48|00:00:25|25|3232K|3232K|177140K|177140K|cpu=00:00:00,energy=7970,fs/disk=0,mem=3232K,pages=0,vmem=177140K|cpu=00:00:00,energy=7970,fs/disk=0,mem=3232K,pages=0,vmem=177140K|0:0|
18874828|floquet_par|COMPLETED|2026-05-27T21:28:00|2026-05-27T21:28:01|2026-05-27T21:39:31|00:11:30|690|||||||0:0|None
18874828.batch|batch|COMPLETED|2026-05-27T21:28:01|2026-05-27T21:28:01|2026-05-27T21:39:31|00:11:30|690|18M|18M|278240K|278240K|cpu=00:00:00,energy=310190,fs/disk=901422,mem=18M,pages=8,vmem=278240K|cpu=00:00:00,energy=310190,fs/disk=901422,mem=18M,pages=8,vmem=278240K|0:0|
18874828.0|run-singularity|COMPLETED|2026-05-27T21:28:02|2026-05-27T21:28:02|2026-05-27T21:39:31|00:11:29|689|21162920K|21162920K|397896796K|397896796K|cpu=06:55:37,energy=309668,fs/disk=2504513621,mem=21162920K,pages=28048,vmem=397896796K|cpu=00:00:01,energy=309668,fs/disk=2504513621,mem=21162920K,pages=28048,vmem=397896796K|0:0|
18898399|wrap|COMPLETED|2026-05-28T16:33:52|2026-05-28T16:36:23|2026-05-28T16:47:44|00:11:21|681|||||||0:0|None
18898399.batch|batch|COMPLETED|2026-05-28T16:36:23|2026-05-28T16:36:23|2026-05-28T16:47:44|00:11:21|681|16388K|16388K|275148K|275148K|cpu=00:00:00,energy=190438,fs/disk=676751,mem=16388K,pages=17,vmem=275148K|cpu=00:00:00,energy=190438,fs/disk=676751,mem=16388K,pages=17,vmem=275148K|0:0|
18898399.0|run-singularity|COMPLETED|2026-05-28T16:36:23|2026-05-28T16:36:23|2026-05-28T16:47:44|00:11:21|681|2900616K|2900616K|23617764K|23617764K|cpu=00:21:33,energy=190302,fs/disk=233808953,mem=2900616K,pages=1689,vmem=23617764K|cpu=00:21:33,energy=190302,fs/disk=233808953,mem=2900616K,pages=1689,vmem=23617764K|0:0|
18899724|wrap|FAILED|2026-05-28T17:52:09|2026-05-28T17:52:11|2026-05-28T17:53:49|00:01:38|98|||||||1:0|None
