kick,noiseless_mean,noiseless_sem,device_cal_mean,device_cal_sem
0,1.000000,0.000000,0.972600,0.000400
1,-0.995700,0.000100,-0.878600,0.000800
2,0.991200,0.000300,0.802300,0.001000
3,-0.985800,0.000500,-0.724300,0.001000
4,0.981800,0.000900,0.663400,0.001600
5,-0.977400,0.001300,-0.602500,0.001400
6,0.973800,0.001400,0.550200,0.001800
7,-0.969700,0.002000,-0.500600,0.001600
8,0.966100,0.002600,0.463600,0.001800
9,-0.962000,0.003200,-0.421600,0.001900
10,0.960500,0.003700,0.388700,0.001700
11,-0.955700,0.004500,-0.357500,0.001800
12,0.954800,0.004700,0.332200,0.002100
13,-0.951300,0.005300,-0.303100,0.002300
14,0.950200,0.006000,0.282900,0.002000
15,-0.946500,0.006700,-0.260500,0.002300
16,0.947200,0.006900,0.243800,0.002000
17,-0.944800,0.007400,-0.223000,0.002200
18,0.944600,0.007700,0.207500,0.002000
19,-0.943800,0.008300,-0.191000,0.002100
20,0.944900,0.008400,0.181600,0.001900
21,-0.943900,0.008800,-0.166000,0.001700
22,0.945600,0.008600,0.156200,0.001800
23,-0.944400,0.009100,-0.143700,0.001700
24,0.948000,0.008900,0.135200,0.002300
25,-0.946900,0.009100,-0.124700,0.002100
26,0.950100,0.008800,0.120200,0.001800
27,-0.948300,0.009000,-0.107500,0.001800
28,0.950700,0.008700,0.106600,0.002000
29,-0.949200,0.009000,-0.096000,0.001900
30,0.950600,0.008700,0.090200,0.001600
31,-0.948700,0.008700,-0.079500,0.002000
32,0.950300,0.008700,0.080500,0.001800
33,-0.948200,0.008600,-0.075300,0.002000
34,0.950200,0.008300,0.071200,0.001900
35,-0.948000,0.008400,-0.060400,0.001900
36,0.949300,0.008300,0.059500,0.001700
37,-0.947500,0.008400,-0.054300,0.001600
38,0.949200,0.008100,0.057600,0.002300
39,-0.948700,0.008300,-0.048700,0.001600
40,0.950000,0.008300,0.047800,0.001500
41,-0.949000,0.008300,-0.043300,0.001400
42,0.950800,0.008100,0.041800,0.001600
43,-0.949900,0.008200,-0.037100,0.001900
44,0.951600,0.008000,0.037000,0.001500
45,-0.949900,0.008000,-0.033600,0.001700
46,0.950900,0.007700,0.035400,0.001600
47,-0.948700,0.007800,-0.030100,0.001400
48,0.950400,0.007300,0.031000,0.001700
49,-0.948200,0.007600,-0.026000,0.001600
50,0.949600,0.007200,0.026700,0.001700
51,-0.947200,0.007400,-0.024300,0.001600
52,0.950900,0.006700,0.023500,0.001800
53,-0.948600,0.007000,-0.021500,0.001700
54,0.949600,0.007000,0.023100,0.001600
55,-0.948900,0.007100,-0.022100,0.001800
56,0.949500,0.007300,0.021300,0.001700
57,-0.947800,0.007600,-0.016100,0.001600
58,0.950600,0.007300,0.016100,0.001500
59,-0.946800,0.008000,-0.014300,0.001300
