# kick  mean_autocorr  sem
   0     0.9726     0.0004
   1    -0.8786     0.0008
   2     0.8023     0.0010
   3    -0.7243     0.0010
   4     0.6634     0.0016
   5    -0.6025     0.0014
   6     0.5502     0.0018
   7    -0.5006     0.0016
   8     0.4636     0.0018
   9    -0.4216     0.0019
  10     0.3887     0.0017
  11    -0.3575     0.0018
  12     0.3322     0.0021
  13    -0.3031     0.0023
  14     0.2829     0.0020
  15    -0.2605     0.0023
  16     0.2438     0.0020
  17    -0.2230     0.0022
  18     0.2075     0.0020
  19    -0.1910     0.0021
  20     0.1816     0.0019
  21    -0.1660     0.0017
  22     0.1562     0.0018
  23    -0.1437     0.0017
  24     0.1352     0.0023
  25    -0.1247     0.0021
  26     0.1202     0.0018
  27    -0.1075     0.0018
  28     0.1066     0.0020
  29    -0.0960     0.0019
  30     0.0902     0.0016
  31    -0.0795     0.0020
  32     0.0805     0.0018
  33    -0.0753     0.0020
  34     0.0712     0.0019
  35    -0.0604     0.0019
  36     0.0595     0.0017
  37    -0.0543     0.0016
  38     0.0576     0.0023
  39    -0.0487     0.0016
  40     0.0478     0.0015
  41    -0.0433     0.0014
  42     0.0418     0.0016
  43    -0.0371     0.0019
  44     0.0370     0.0015
  45    -0.0336     0.0017
  46     0.0354     0.0016
  47    -0.0301     0.0014
  48     0.0310     0.0017
  49    -0.0260     0.0016
  50     0.0267     0.0017
  51    -0.0243     0.0016
  52     0.0235     0.0018
  53    -0.0215     0.0017
  54     0.0231     0.0016
  55    -0.0221     0.0018
  56     0.0213     0.0017
  57    -0.0161     0.0016
  58     0.0161     0.0015
  59    -0.0143     0.0013
