# kick  mean_autocorr  sem
   0     1.0000     0.0000
   1    -0.9957     0.0001
   2     0.9907     0.0004
   3    -0.9862     0.0006
   4     0.9818     0.0010
   5    -0.9778     0.0014
   6     0.9728     0.0020
   7    -0.9690     0.0025
   8     0.9629     0.0030
   9    -0.9587     0.0035
  10     0.9545     0.0041
  11    -0.9493     0.0049
  12     0.9450     0.0055
  13    -0.9420     0.0061
  14     0.9378     0.0066
  15    -0.9344     0.0074
  16     0.9306     0.0079
  17    -0.9276     0.0084
  18     0.9242     0.0091
  19    -0.9216     0.0097
  20     0.9188     0.0099
  21    -0.9165     0.0103
  22     0.9138     0.0109
  23    -0.9111     0.0113
  24     0.9091     0.0115
  25    -0.9077     0.0119
  26     0.9068     0.0119
  27    -0.9048     0.0122
  28     0.9042     0.0122
  29    -0.9037     0.0124
  30     0.9019     0.0125
  31    -0.9011     0.0128
  32     0.9006     0.0128
  33    -0.9013     0.0127
  34     0.9022     0.0127
  35    -0.9028     0.0127
  36     0.9042     0.0124
  37    -0.9056     0.0124
  38     0.9066     0.0121
  39    -0.9079     0.0120
  40     0.9101     0.0119
  41    -0.9117     0.0118
  42     0.9137     0.0117
  43    -0.9158     0.0117
  44     0.9184     0.0111
  45    -0.9203     0.0112
  46     0.9216     0.0110
  47    -0.9233     0.0108
  48     0.9257     0.0105
  49    -0.9260     0.0107
  50     0.9270     0.0103
  51    -0.9272     0.0105
  52     0.9295     0.0102
  53    -0.9314     0.0103
  54     0.9315     0.0105
  55    -0.9321     0.0106
  56     0.9328     0.0107
  57    -0.9332     0.0110
  58     0.9332     0.0112
  59    -0.9324     0.0115
